R1-T1
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves
7,400,68,18,50,30*30,2,352,352,48,52,,,,,,,,,,,,,,,
8,375,59,20,39,27*30,2,330,330,45,47,,,,,,,,,,,,,,,
9,412,62,22,40,32*35,2,367,364,45,38,,,,,,,,,,,,,,,
10,345,64,18,46,30*30,2,302,300,43,44,,,,,,,,,,,,,,,
11,376,67,19.5,47.5,30*30,2,334,325,42,46,,,,,,,,,,,,,,,
12,374,62,20,42,27*30,2,335,334,39,42,,,,,,,,,,,,,,,
,366.3333333

R3-T2
Plant No.,Total weight (g),Plant height (cm),Shoot length (cm),Root length (cm),Head diameter (cm),Stem diameter (cm),Shoot weight before removing wilted leaves (g),shoot weight after removing wilted leaves(g),Root weight (g),No. of leaves,,,,,,,,,,,,,,,
1,377,64,20,44,30*29,2,332,332,45,39,,,,,,,,,,,,,,,
2,391,65,20,45,30*27,2,347,347,44,41,,,,,,,,,,,,,,,
3,368,80,19,61,27*24,2,330,330,38,50,,,,,,,,,,,,,,,
4,308,53,17,36,25*25,2,273,267,35,43,,,,,,,,,,,,,,,
5,294,59,19,40,26*25,2,260,260,34,38,,,,,,,,,,,,,,,
6,334,62,17,45,26*26,2,296,296,38,45,,,,,,,,,,,,,,,
7,353,75,20.5,54.5,27*26,2,330,326,23,43,,,,,,,,,,,,,,,
8,368,51,18,33,28*28,2,314,308,54,42,,,,,,,,,,,,,,,
9,313,62,18,44,30*30,2,271,270,42,42,,,,,,,,,,,,,,,
10,348,64,19,45,28*28,2,312,312,36,38,,,,,,,,,,,,,,,
11,321,52,17,35,29*26,2,281,281,40,43,,,,,,,,,,,,,,,
12,300,70,16,54,27*25,2,264,264,36,43,,,,,,,,,,,,,,,
,339.5833333
