 Exp 3. Harvest Measurments 

System ,Plant No.,Plant height (cm),Shoot length (cm),Root length (cm),H.D (cm),Total weight (g),Stem diameter (cm),Shoot weight before removing wilted leaves (g) ,Shoot weight after removing wilted leaves (g) ,Root weight (g) ,No.of leaves ,,,,,,,,,,,,,,
R2T2,1,57,19,#NAME?,28*20,244,1,209,208,#NAME?,34,,,,,,,,,,,,,,
,2,56,17,#NAME?,28*27,281,1,245,244,#NAME?,37,,,,,,,,,,,,,,
,3,62,18,#NAME?,26*28,292,1,255,251,#NAME?,43,,,,,,,,,,,,,,
,4,71,18,#NAME?,27*23,260,1,223,221,#NAME?,38,,,,,,,,,,,,,,
,5,67,19,#NAME?,27*29,315,1,271,264,#NAME?,43,,,,,,,,,,,,,,
,6,60,19,#NAME?,22*24,282,1,244,242,#NAME?,39,,,,,,,,,,,,,,
,7,63,19,#NAME?,27*29,274,1,236,232,#NAME?,45,,,,,,,,,,,,,,
,8,62,19,#NAME?,30*29,290,1,251,245,#NAME?,34,,,,,,,,,,,,,,
,9,72,18,#NAME?,28*26,260,1,222,216,#NAME?,40,,,,,,,,,,,,,,
,10,64,19,#NAME?,28*27,240,1,206,200,#NAME?,37,,,,,,,,,,,,,,
,11,56,17,#NAME?,27*24,264,1,228,227,#NAME?,45,,,,,,,,,,,,,,
,12,54,16,#NAME?,23*23,250,1,216,212,#NAME?,46,,,,,,,,,,,,,,
,,62,18.16666667,#NAME?,,271,1,233.8333333,230.1666667,#NAME?,40.08333333

System ,Plant No.,Plant height (cm),Shoot length (cm),Root length (cm),H.D (cm),Total weight (g),Stem diameter (cm),Shoot weight before removing wilted leaves (g) ,Shoot weight after removing wilted leaves (g) ,Root weight (g) ,No.of leaves ,,,,,,,,,,,,,,
R3T2,1,63,15,#NAME?,29*23,241,1,206,205,#NAME?,38,,,,,,,,,,,,,,
,2,78,18,#NAME?,24*23,244,1,205,203,#NAME?,42,,,,,,,,,,,,,,
,3,75,17,#NAME?,22*24,203,1,171,167,#NAME?,37,,,,,,,,,,,,,,
,4,59,16,#NAME?,27*28,304,1.5,264,255,#NAME?,42,,,,,,,,,,,,,,
,5,72,18,#NAME?,27*25,268,1,228,217,#NAME?,39,,,,,,,,,,,,,,
,6,50,20,#NAME?,25*27,254,1,216,216,#NAME?,41,,,,,,,,,,,,,,
,7,57,20,#NAME?,25*29,235,1,219,210,#NAME?,37,,,,,,,,,,,,,,
,8,54,18,#NAME?,24*22,221,1,187,184,#NAME?,37,,,,,,,,,,,,,,
,9,62,17,#NAME?,25*25,224,1,190,187,#NAME?,35,,,,,,,,,,,,,,
,10,55,16,#NAME?,23*21,200,1,166,162,#NAME?,36,,,,,,,,,,,,,,
,11,56,16,#NAME?,23*24,282,1.2,238,236,#NAME?,44,,,,,,,,,,,,,,
,12,57,15,#NAME?,23*29,223,1,191,191,#NAME?,36,,,,,,,,,,,,,,
,,61.5,17.16666667,#NAME?,,241.5833333,1.058333333,206.75,202.75,#NAME?,38.66666667
